Time_Acc,Acc_x,Acc_y,Acc_z,Time_Gra,Gra_x,Gra_y,Gra_z,Time_Gyr,Gyr_x,Gyr_y,Gyr_z,Time_Light,Light,Time_LAcc,LAcc_x,LAcc_y,LAcc_z,Time_Mag,Mag_x,Mag_y,Mag_z,Time_Pres,Pres,Time_Prox,Prox,Time_ReHum,ReHum,Time_Rov,Rov_w,Rov_x,Rov_y,Rov_z,Time_SteCou,SteCou,Time_TSD,TSD_value,id,scenario,behavior,class
1510572039295.0,-0.44869995,0.0063171387,9.436203,1510572039306.0,-0.44243267,-0.020648427,9.796643,1510572039305.0,-0.0011749268,-0.0019378662,0.0013275146,0,0,1510572039306.0,-0.021381944,0.02626016,-0.02576065,1510572039333.0,-23.867798,13.0355835,-40.968323,1510572039322.0,1015.51184,0,0,0,0,1510572039307.0,0.012291303,0.018951155,-0.5825223,0.81250083,0,0,0,0,0,0,0,0
1510572039425.0,-0.44155884,-0.01272583,9.464767,1510572039437.0,-0.44496602,-0.016471129,9.796536,1510572039436.0,-0.0011749268,0.00019836426,0.0023956299,0,0,1510572039438.0,-0.011955351,0.0031766295,0.0064582825,1510572039461.0,-24.905396,13.725281,-39.622498,1510572039450.0,1015.52185,0,0,0,0,1510572039444.0,0.012535107,0.018935153,-0.5823212,0.81264156,0,0,0,0,0,0,0,0
1510572039556.0,-0.43203735,-0.041290283,9.357651,1510572039574.0,-0.4438692,-0.018461874,9.796582,1510572039572.0,-0.00010681152,0.00019836426,0.0002593994,0,0,1510572039575.0,-0.0039848983,-0.023486277,-0.08984184,1510572039602.0,-24.732971,13.208008,-41.13617,1510572039587.0,1015.52185,0,0,0,0,1510572039576.0,0.012422253,0.018947314,-0.58241916,0.81257284,0,0,0,0,0,0,0,0
1510572039686.0,-0.41775513,0.020599365,9.41478,1510572039697.0,-0.4424246,-0.013370741,9.796656,1510572039695.0,-0.00010681152,0.00019836426,0.0002593994,0,0,1510572039697.0,0.009047031,0.033497974,-0.035946846,1510572039720.0,-24.559021,12.690735,-40.968323,1510572039711.0,1015.51184,0,0,0,0,1510572039698.0,0.01258265,0.018741306,-0.5820867,0.81281334,0,0,0,0,0,0,0,0
1510572039816.0,-0.40823364,-0.0008239746,9.464767,1510572039827.0,-0.43995944,-0.010107543,9.796771,1510572039825.0,-0.00010681152,-0.0019378662,-0.0008087158,0,0,1510572039827.0,0.015948951,0.008921115,0.019306183,1510572039853.0,-24.040222,12.863159,-40.127563,1510572039847.0,1015.51184,0,0,0,0,1510572039828.0,0.012639133,0.018545948,-0.5818437,0.81299096,0,0,0,0,0,0,0,0
1510572039946.0,-0.44631958,0.03488159,9.512375,1510572039957.0,-0.44130737,-0.005707143,9.796714,1510572039956.0,-0.00010681152,0.00019836426,0.0002593994,0,0,1510572039957.0,-0.0202429,0.040391766,0.053771973,1510572039981.0,-25.250244,12.347412,-41.641235,1510572039972.0,1015.51184,0,0,0,0,1510572039958.0,0.012856286,0.018475005,-0.58160657,0.81315875,0,0,0,0,0,0,0,0
1510572040077.0,-0.45822144,-0.038909912,9.474289,1510572040093.0,-0.4403043,-0.011326201,9.796754,1510572040092.0,0.0009613037,0.00019836426,0.0013275146,0,0,1510572040094.0,-0.03296414,-0.027970774,0.012330055,1510572040112.0,-24.559021,12.690735,-41.641235,1510572040107.0,1015.51184,0,0,0,0,1510572040095.0,0.012600662,0.018595193,-0.58192325,0.81293344,0,0,0,0,0,0,0,0
1510572040218.0,-0.44631958,-0.010345459,9.460007,1510572040219.0,-0.44151503,-0.0118142525,9.796699,1510572040219.0,-0.00010681152,-0.000869751,0.0002593994,0,0,1510572040220.0,-0.01978162,0.0010680305,-0.004368782,1510572040243.0,-24.386597,12.519836,-41.809082,1510572040232.0,1015.51184,0,0,0,0,1510572040220.0,0.012617609,0.018659083,-0.58197594,0.812894,0,0,0,0,0,0,0,0
1510572040337.0,-0.43917847,-0.046051025,9.460007,1510572040348.0,-0.43997386,-0.018769855,9.796758,1510572040347.0,-0.0011749268,0.00019836426,0.0002593994,0,0,1510572040348.0,-0.014035761,-0.027913887,-0.006509781,1510572040372.0,-24.559021,11.657715,-40.631104,1510572040363.0,1015.51184,0,0,0,0,1510572040349.0,0.0122923255,0.018795813,-0.58236235,0.81261903,0,0,0,0,0,0,0,0
1510572040468.0,-0.40109253,0.03012085,9.595688,1510572040479.0,-0.4955705,0.011211727,9.794114,1510572040478.0,0.08641052,0.22557068,-0.001876831,0,0,1510572040479.0,0.07828042,0.019275576,0.121691704,1510572040502.0,-24.386597,12.519836,-40.800476,1510572040493.0,1015.52185,0,0,0,0,1510572040479.0,0.015177196,0.020219114,-0.58189696,0.8128695,0,0,0,0,0,0,0,0
