WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
2.1.2.3.2.24,第十二章@ GYFYH finish,2019/2/24 下午12:30,2019/2/24 下午12:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.23,,,￥1.00,￥1.00
2.1.2.3.2.25,GYFYH@第十三章,2019/2/24 下午12:30,2019/2/24 下午8:30,7 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.24,,0,￥1.00,￥2.00
2.1.2.3.2.26,第十三章@ GYFYH finish,2019/2/24 下午8:30,2019/2/24 下午8:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.25,,,￥1.00,￥1.00
2.1.2.4,Europe,2019/1/6 下午8:00,2019/1/8 下午10:15,4 天 15 分,1 天 30 分,100%,￥6.00,,,,,,2019/1/1 上午8:00,,,,,￥30.00,￥36.00
2.1.2.4.1,看不见的城市,2019/1/6 下午8:00,2019/1/7 上午9:00,5 小时,5 小时,100%,,,,,,,2019/1/2 上午7:00,,,,,￥18.00,￥18.00
2.1.2.4.1.1,KBJDCS@第一章,2019/1/6 下午8:00,2019/1/6 下午8:30,30 分,30 分,100%,,Off work,,,,,2019/1/6 下午8:00,,,,0,￥1.00,￥1.00
2.1.2.4.1.2,第一章@KBJDCS finish,2019/1/6 下午8:30,2019/1/6 下午8:30,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.1,,,￥1.00,￥1.00
2.1.2.4.1.3,KBJDCS@第二章,2019/1/6 下午8:30,2019/1/6 下午9:00,30 分,30 分,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.2,,0,￥1.00,￥1.00
2.1.2.4.1.4,第二章@KBJDCS finish,2019/1/6 下午9:00,2019/1/6 下午9:00,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.3,,,￥1.00,￥1.00
2.1.2.4.1.5,KBJDCS@第三章,2019/1/6 下午9:00,2019/1/6 下午9:30,30 分,30 分,100%,,Off work,,,,,2019/1/6 下午8:00,,2.1.2.4.1.4,,0,￥1.00,￥1.00
2.1.2.4.1.6,第三章@KBJDCS finish,2019/1/6 下午9:30,2019/1/6 下午9:30,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.5,,,￥1.00,￥1.00
2.1.2.4.1.7,KBJDCS@第四章,2019/1/6 下午9:30,2019/1/6 下午10:00,30 分,30 分,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.6,,0,￥1.00,￥1.00
2.1.2.4.1.8,第四章@KBJDCS finish,2019/1/6 下午10:00,2019/1/6 下午10:00,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.7,,,￥1.00,￥1.00
2.1.2.4.1.9,KBJDCS@第五章,2019/1/6 下午10:00,2019/1/6 下午10:30,30 分,30 分,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.8,,0,￥1.00,￥1.00
2.1.2.4.1.10,第五章@KBJDCS finish,2019/1/6 下午10:30,2019/1/6 下午10:30,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.9,,,￥1.00,￥1.00
